molecule_name,score
rxn:2:73830:136493,0.11914163568745488
rxn:2:148561:85400,0.11911119176791264
rxn:2:148561:75079,0.11908330917358398
rxn:2:126818:128413,0.11905047049125035
rxn:2:122689:80888,0.11903810241948003
rxn:2:138608:89838,0.11903254363847815
rxn:2:83428:127220,0.119021245024421
rxn:2:99046:96010,0.11901174485683441
rxn:2:120516:80888,0.11898961414893468
rxn:2:169659:107408,0.11898455272118251
rxn:2:108600:94543,0.11898391723632812
rxn:2:135979:114921,0.11895450407808478
rxn:2:150920:170892,0.11892318725585938
rxn:2:135979:141812,0.11888237880623859
rxn:2:108600:119826,0.11885271966457367
rxn:2:89710:142664,0.11881953919375385
rxn:2:73830:138839,0.11881588647762935
rxn:2:122689:162453,0.11880144079526266
rxn:2:71158:141988,0.11878636479377747
rxn:2:117866:166234,0.11877028147379558
rxn:2:162522:110041,0.11875075340270996
rxn:2:131907:169340,0.11874036490917206
rxn:2:99046:166234,0.11872984303368463
rxn:2:89710:159258,0.11871411119188581
rxn:2:127547:109025,0.11870969086885452
rxn:2:135979:166533,0.1186966719450774
rxn:2:117866:136054,0.11868257107942001
rxn:2:99046:159258,0.11868035793304443
rxn:2:89710:166533,0.11866561216967446
rxn:2:137210:108287,0.11866079807281495
rxn:2:73830:165319,0.1185822221967909
rxn:2:71158:109025,0.11858190844456355
rxn:2:118285:140099,0.11857870221138
rxn:2:66651:166234,0.11856476323945182
rxn:2:127547:141988,0.11855075011650722
rxn:2:166916:94292,0.11854619008523447
rxn:2:169659:144456,0.1185315123626164
rxn:2:112914:135906,0.11849631433901579
rxn:2:66651:122855,0.11842576165994008
rxn:2:169659:169340,0.11840416703905378
rxn:2:139810:165969,0.11839774148217563
rxn:2:139810:169340,0.1183787499155317
rxn:2:117866:133432,0.11837697982788085
rxn:2:139810:155096,0.11833713231263338
rxn:2:71158:168774,0.1183144748210907
rxn:2:73830:169326,0.11829629650822392
rxn:2:135979:153413,0.11826635094789359
rxn:2:73830:96010,0.11825368305047353
rxn:2:139810:122855,0.11820260683695476
rxn:2:148561:166234,0.1181790540958273
rxn:2:110995:133432,0.11817238881037785
rxn:2:83428:133432,0.11815319631410681
rxn:2:143189:119826,0.11815283298492432
rxn:2:122689:95550,0.1181236704190572
rxn:2:169659:127220,0.11812122344970703
rxn:2:130370:90126,0.11807591716448466
rxn:2:73830:115254,0.11797744554022084
