name,score
rxn:2:139252:169305,0.14104899993309608
rxn:2:136508:171231,0.15388509844030654
rxn:2:92194:152446,0.1139782190322876
rxn:2:122723:79735,0.09939600229263305
rxn:2:97081:170060,0.11867551450376157
rxn:2:94771:169366,0.13314359004680926
rxn:2:145769:142183,0.12150525419335616
rxn:2:67380:126659,0.13738028526306154
rxn:2:66358:102419,0.14426583051681519
rxn:2:83604:173089,0.12326539646495473
rxn:2:164588:142183,0.15074857738282946
rxn:2:121028:173089,0.14875206461659185
rxn:2:83604:83991,0.149932114701522
rxn:2:75290:123403,0.1447367717822393
rxn:2:78172:171231,0.11966933653904842
rxn:2:68737:97346,0.14145575818561373
rxn:2:167260:169412,0.14288507401943207
rxn:2:84487:170913,0.1372577691900319
rxn:2:141397:169300,0.11927354963202226
rxn:2:141397:168058,0.14140335023403167
rxn:2:160401:169412,0.14306609092220182
rxn:2:77242:169305,0.1155268458219675
rxn:2:68085:169305,0.13742877697122508
rxn:2:97024:78351,0.14174680606178616
rxn:2:73951:173089,0.1398964262008667
rxn:2:169557:142183,0.15900503505359997
rxn:2:83476:91563,0.1404041602061345
rxn:2:88943:96010,0.15352787574132284
rxn:2:68710:123403,0.15179379284381866
rxn:2:130225:170235,0.14157797281558698
rxn:2:123785:170060,0.14448189735412598
rxn:2:116191:135659,0.12975726438605267
rxn:2:110352:169300,0.12737079858779907
rxn:2:127785:70192,0.14307959675788878
rxn:2:84697:170060,0.14933063302721297
rxn:2:104678:169412,0.155570716769607
rxn:2:122474:170060,0.12506912494527883
rxn:2:105784:170060,0.14616864919662476
rxn:2:144636:172076,0.14410547287233413
rxn:2:96304:169412,0.14942088209349533
rxn:2:111453:152446,0.1126968754189355
rxn:2:122723:152446,0.12858472199275575
rxn:2:95355:102419,0.13765535593032838
rxn:2:84123:172751,0.12595623305865697
rxn:2:84697:169412,0.13505004984991892
rxn:2:116690:169412,0.14112424850463867
rxn:2:83579:171231,0.1347821862609298
rxn:2:123459:170060,0.140852977489603
rxn:2:124198:101283,0.09899789408633583
rxn:2:105246:171231,0.1355697581401238
rxn:2:97063:169964,0.12058492943092629
rxn:1:41904:28813,0.1413506031036377
rxn:2:114592:169412,0.14393557884075023
rxn:2:78484:102373,0.1592141335660761
