Reactant analysis summary
========================================================================
Source:    /root/workspace/nova-4090/data/rxn4.csv
Molecules: 2207
Detail:    /root/workspace/nova-4090/data/rxn4_reactant_analysis.csv

------------------------------------------------------------------------
Position 1  (793 unique reactants)
------------------------------------------------------------------------
   reactant_id   count       avg_score       max_score
        198634       1    0.0978597545    0.0978597545
        199015       1    0.0977843928    0.0977843928
        188432       1    0.0976553571    0.0976553571
        178754       1    0.0976318950    0.0976318950
        186235       1    0.0975702778    0.0975702778
        191531       1    0.0975658865    0.0975658865
        198867       1    0.0974034045    0.0974034045
        192272       1    0.0973252835    0.0973252835
        181633       1    0.0973161273    0.0973161273
        183062       1    0.0972958959    0.0972958959
        188999       1    0.0972748542    0.0972748542
        178619       1    0.0971230113    0.0971230113
        191910       1    0.0969797174    0.0969797174
        178608       1    0.0967591757    0.0967591757
        191425       1    0.0966793922    0.0966793922
        195414       1    0.0964263916    0.0964263916
        210202       1    0.0959594947    0.0959594947
        217397       1    0.0957243361    0.0957243361
        208087       1    0.0953745320    0.0953745320
        217456       1    0.0953638981    0.0953638981
        199452       1    0.0952691228    0.0952691228
        195595       1    0.0952224150    0.0952224150
        191768       1    0.0951579511    0.0951579511
        205172       1    0.0948211312    0.0948211312
        218136       1    0.0947460518    0.0947460518
        217622       1    0.0946556454    0.0946556454
        191508       1    0.0944949026    0.0944949026
        181612       1    0.0944819360    0.0944819360
        178728       1    0.0944127622    0.0944127622
        178785       1    0.0943967217    0.0943967217
        191335       1    0.0943175063    0.0943175063
        180292       1    0.0943132781    0.0943132781
        179054       1    0.0943054358    0.0943054358
        191795       1    0.0941131945    0.0941131945
        192204       1    0.0940270498    0.0940270498
        212231       1    0.0940217582    0.0940217582
        211602       1    0.0940008839    0.0940008839
        200132       1    0.0939461365    0.0939461365
        192211       1    0.0938300732    0.0938300732
        188509       1    0.0937557220    0.0937557220
        189352       1    0.0937419403    0.0937419403
        179222       1    0.0935016845    0.0935016845
        179584       1    0.0934558746    0.0934558746
        211115       1    0.0931093584    0.0931093584
        179408       1    0.0926710293    0.0926710293
        181042       1    0.0926689889    0.0926689889
        195957       1    0.0926457644    0.0926457644
        218147       1    0.0926320138    0.0926320138
        185962       1    0.0924122984    0.0924122984
        210028       1    0.0923313011    0.0923313011
        211580       1    0.0921762552    0.0921762552
        196133       1    0.0920025621    0.0920025621
        217320       1    0.0916198614    0.0916198614
        211381       1    0.0912954912    0.0912954912
        198801       1    0.0910982451    0.0910982451
        210187       1    0.0907461022    0.0907461022
        188190       1    0.0905394554    0.0905394554
        198770       1    0.0904608648    0.0904608648
        218179       1    0.0902434960    0.0902434960
