# Reactant analysis
# source: /root/workspace/nova-4090/data/rxn5.csv
# molecules_analyzed: 3454
# reactant_position: 1 = first reactant after rxn:N, 2 = second, 3 = third (if present)
# sorted within each position by count (desc), then max_score (desc)
reactant_position,reactant_id,count,avg_score,max_score
1,196190,1,0.1051240541,0.1051240541
1,191770,1,0.1050661288,0.1050661288
1,198128,1,0.1050247344,0.1050247344
1,178986,1,0.1048948971,0.1048948971
1,198676,1,0.1048551726,0.1048551726
1,197651,1,0.1047423966,0.1047423966
1,181283,1,0.1045942942,0.1045942942
1,182947,1,0.1045359671,0.1045359671
1,183217,1,0.1045266332,0.1045266332
1,198671,1,0.1042751138,0.1042751138
1,180097,1,0.1041814446,0.1041814446
1,198521,1,0.1039184851,0.1039184851
1,180149,1,0.1034719367,0.1034719367
1,179981,1,0.1034332041,0.1034332041
1,180023,1,0.1033430926,0.1033430926
1,188371,1,0.1033288132,0.1033288132
1,195527,1,0.1031370336,0.1031370336
1,182507,1,0.1030712532,0.1030712532
1,192429,1,0.1030648984,0.1030648984
1,199065,1,0.1029256582,0.1029256582
1,179194,1,0.1028918604,0.1028918604
1,181743,1,0.1027834950,0.1027834950
1,195315,1,0.1023940422,0.1023940422
1,198744,1,0.1022814055,0.1022814055
1,181497,1,0.1019074588,0.1019074588
1,181416,1,0.1014920473,0.1014920473
1,191236,1,0.1014042179,0.1014042179
1,177287,1,0.1010622238,0.1010622238
1,195914,1,0.1010553773,0.1010553773
1,194942,1,0.1010421642,0.1010421642
1,183216,1,0.0999858764,0.0999858764
1,182642,1,0.0997819815,0.0997819815
1,191557,1,0.0996957608,0.0996957608
1,198417,1,0.0994997988,0.0994997988
1,198299,1,0.0993212680,0.0993212680
1,181078,1,0.0989498278,0.0989498278
1,179542,1,0.0980828548,0.0980828548
1,195675,1,0.0973906787,0.0973906787
1,198228,1,0.0965125607,0.0965125607
1,195303,1,0.0962970376,0.0962970376
1,191555,1,0.0962313423,0.0962313423
1,199073,1,0.0957364748,0.0957364748
1,195320,1,0.0926220465,0.0926220465
1,191516,1,0.0924731572,0.0924731572
1,198421,1,0.0923532865,0.0923532865
1,191683,1,0.0919791694,0.0919791694
1,198227,1,0.0885403919,0.0885403919
1,199168,1,0.0756396532,0.0756396532
1,188461,1,0.0699905600,0.0699905600
1,178313,1,0.0699497345,0.0699497345
1,195087,1,0.0692510836,0.0692510836
1,192649,1,0.0648228812,0.0648228812
1,192651,1,0.0640872568,0.0640872568
1,194661,1,0.0628719708,0.0628719708
1,182838,1,0.0615719768,0.0615719768
1,192427,1,0.0595759397,0.0595759397
1,195446,1,0.0583489157,0.0583489157
1,191338,1,0.0581852178,0.0581852178
1,195612,1,0.0579885833,0.0579885833
1,189577,1,0.0577952656,0.0577952656
1,190743,1,0.0575451255,0.0575451255
1,189538,1,0.0573748269,0.0573748269
1,197757,1,0.0565025260,0.0565025260
1,198250,1,0.0561071691,0.0561071691
1,193932,1,0.0558123079,0.0558123079
1,193461,1,0.0557816405,0.0557816405
1,195610,1,0.0555800751,0.0555800751
1,178314,1,0.0552947248,0.0552947248
1,190309,1,0.0548465139,0.0548465139
1,196350,1,0.0547386574,0.0547386574
1,189037,1,0.0528118228,0.0528118228
1,190649,1,0.0524562223,0.0524562223
1,189212,1,0.0523615244,0.0523615244
1,192955,1,0.0523521097,0.0523521097
1,179408,1,0.0518645432,0.0518645432
1,181206,1,0.0518114624,0.0518114624
1,199271,1,0.0516593662,0.0516593662
1,193681,1,0.0511217117,0.0511217117
1,192492,1,0.0510944503,0.0510944503
1,189579,1,0.0506052886,0.0506052886
1,182500,1,0.0503128808,0.0503128808
1,196359,1,0.0502651272,0.0502651272
1,177284,1,0.0494417548,0.0494417548
1,195090,1,0.0485479957,0.0485479957
1,196791,1,0.0483358179,0.0483358179
1,189908,1,0.0479556438,0.0479556438
1,194949,1,0.0479488472,0.0479488472
1,193333,1,0.0478810889,0.0478810889
1,194244,1,0.0476108287,0.0476108287
1,179872,1,0.0474977506,0.0474977506
1,179415,1,0.0471920678,0.0471920678
1,191908,1,0.0471660907,0.0471660907
1,198199,1,0.0469530799,0.0469530799
1,190418,1,0.0460915010,0.0460915010
1,196920,1,0.0460629350,0.0460629350
1,190082,1,0.0459940380,0.0459940380
1,188253,1,0.0453902720,0.0453902720
1,188962,1,0.0451244863,0.0451244863
1,181621,1,0.0439668840,0.0439668840
1,197919,1,0.0381528974,0.0381528974
2,223456,1155,0.1084661043,0.1337736318
2,223248,162,0.1093441467,0.1240647808
2,223324,65,0.1057688386,0.1245413637
2,226134,46,0.1085023595,0.1197933864
2,226854,43,0.0595110952,0.0837336127
2,227107,41,0.1070992294,0.1284749439
2,223233,36,0.0534492257,0.0699905600
2,223369,34,0.1038378438,0.1285128554
2,227034,28,0.0979360912,0.1266818488
2,226676,26,0.0538493019,0.1030495804
2,226710,25,0.1060430644,0.1253019174
2,223234,25,0.0540506810,0.0692510836
2,226907,24,0.1065382385,0.1221770261
2,228002,23,0.1214152924,0.1341752570
2,228018,19,0.1060121888,0.1219433546
2,226181,19,0.0596437037,0.1093572021
2,228623,18,0.1216952423,0.1297069490
2,226924,18,0.1087245752,0.1195343320
2,227988,18,0.1077158710,0.1138119675
2,226320,16,0.1101855823,0.1231925134
2,227036,16,0.1040591093,0.1155326550
2,226349,16,0.1025386219,0.1117505164
2,225816,15,0.1086023036,0.1226221664
2,227997,15,0.1082102207,0.1160551597
2,227113,14,0.1072423025,0.1272514505
2,227035,14,0.1085192720,0.1214806298
2,228204,14,0.1101188872,0.1162766851
2,226326,14,0.1098004963,0.1147470368
2,227447,13,0.1094474960,0.1210425986
2,225851,13,0.1081728827,0.1187623654
2,227828,13,0.1053672293,0.1114124126
2,229239,12,0.1117280879,0.1379714056
2,227117,12,0.1079884462,0.1267547516
2,228073,12,0.1096273171,0.1222063351
2,223335,12,0.1074758695,0.1202357173
2,228207,12,0.1075177093,0.1190213671
2,223315,11,0.1108699343,0.1244707918
2,223375,11,0.1024496178,0.1133521040
2,227821,10,0.1093812831,0.1220311426
2,228252,10,0.1038724745,0.1147652547
2,223149,9,0.1119442778,0.1193235332
2,223380,9,0.1084904108,0.1184276581
2,223459,9,0.1040110394,0.1179469848
2,223112,8,0.1067996147,0.1132709533
2,227978,8,0.1006587964,0.1131680395
2,226133,8,0.1072247694,0.1128929710
2,225862,7,0.1096197942,0.1185435262
2,225815,7,0.1099853071,0.1184052144
2,225657,7,0.1096086100,0.1167654395
2,223329,7,0.1095894821,0.1162264872
2,226826,7,0.1082793157,0.1156819828
2,228007,7,0.1023200340,0.1151265335
2,223343,7,0.1086911896,0.1145367265
2,227831,7,0.1082416558,0.1136492766
2,226917,7,0.1072355553,0.1132847454
2,229338,7,0.0983440010,0.1093725012
2,227837,6,0.1115787024,0.1312317872
2,229098,6,0.1112475553,0.1277299949
2,228983,6,0.1074228252,0.1224712772
2,226670,6,0.1095534122,0.1200914502
