molecule_name,score,max_hist_sim,hf_unique,brenk_ok,shelf_ok
rxn:1:55769:22853,0.11570870525696698,1.0,False,False,False
rxn:1:54213:11890,0.11570545605250768,1.0,False,False,False
rxn:1:41844:10393,0.11568839261026094,1.0,False,True,False
rxn:1:55300:10503,0.11566237491719863,1.0,False,True,False
rxn:1:45983:33027,0.11564978284220542,1.0,False,True,False
rxn:1:45983:10501,0.11560613267561969,1.0,False,True,False
rxn:1:49932:10393,0.11560348552816055,1.0,False,True,False
rxn:1:59225:12190,0.11548415733420331,1.0,False,True,False
rxn:1:52957:120,0.11545817992266487,1.0,False,True,False
rxn:1:55662:10503,0.11540723868778774,1.0,False,True,False
rxn:1:62565:23834,0.11540062427520752,1.0,False,False,False
rxn:1:59021:22738,0.11531537969907125,1.0,False,False,False
rxn:1:56031:10477,0.11531061104365757,1.0,False,True,False
rxn:1:59225:7755,0.11527259783311324,1.0,True,True,False
rxn:1:52404:10448,0.11520015075802803,1.0,False,True,False
rxn:1:48385:23564,0.11515410670212337,1.0,False,False,False
rxn:1:59279:22738,0.11513889558387524,0.8115942028985508,True,False,False
rxn:1:48333:31781,0.11511383851369222,1.0,False,False,False
rxn:1:65090:31781,0.11509532764040191,1.0,False,True,False
rxn:1:45931:10477,0.11507236606934491,1.0,False,True,False
rxn:1:51880:120,0.11506752621742987,1.0,False,False,False
rxn:1:59368:107,0.11506170431772868,1.0,False,False,False
rxn:1:52049:10477,0.11501366951886345,1.0,False,True,False
rxn:1:59225:1393,0.11499040126800537,1.0,False,True,False
rxn:1:55502:10477,0.11498625350720955,1.0,False,True,False
rxn:1:59225:11826,0.11495211578550793,1.0,False,True,False
rxn:1:55354:10393,0.11493759602308273,1.0,False,True,False
rxn:1:40042:10501,0.1149216815829277,1.0,False,True,False
rxn:1:52101:10393,0.11491692788673169,1.0,False,True,False
rxn:1:65090:22730,0.11490694805979729,1.0,False,True,False
rxn:1:56056:10477,0.11490218469074794,1.0,False,True,False
rxn:1:40181:22713,0.11483858951500484,1.0,False,False,False
rxn:1:65458:22738,0.11480711959302425,1.0,False,False,False
rxn:1:45979:23585,0.11478951265072,1.0,False,False,False
rxn:1:57552:10393,0.11475795315157983,1.0,False,True,False
rxn:1:59225:39437,0.1147390604019165,1.0,False,True,False
rxn:1:55357:10503,0.11465575765160953,1.0,False,True,False
rxn:1:59021:31781,0.11465265132762768,1.0,False,True,False
rxn:1:55448:10501,0.11455350572412665,1.0,False,True,False
rxn:1:45983:3980,0.11454391962773092,1.0,False,True,False
rxn:1:55512:10393,0.11450240574777126,0.9014084507042254,True,True,False
rxn:1:57328:10477,0.11447896808385849,1.0,False,True,False
rxn:1:45713:10501,0.11443279728744969,1.0,False,True,False
rxn:1:57786:10393,0.11436983570456505,1.0,False,True,False
rxn:1:56068:10477,0.11432085718427386,0.9113924050632911,True,True,False
rxn:1:55823:10393,0.11431173844770952,0.9027777777777778,True,True,False
rxn:1:55935:10477,0.11430156230926514,1.0,False,True,False
rxn:1:59049:23566,0.1142735949584416,0.8307692307692308,True,False,False
rxn:1:55315:10393,0.11427167430520058,1.0,False,True,False
rxn:1:55279:10393,0.11423342488706112,1.0,False,True,False
rxn:1:59013:22861,0.11421312055280132,1.0,False,False,False
rxn:1:52260:10477,0.11419850417545864,1.0,False,True,False
rxn:1:52260:10393,0.11419797469587888,1.0,False,True,False
rxn:1:45871:10393,0.11417136409065941,1.0,False,True,False
rxn:1:41832:10503,0.1141395092010498,1.0,False,True,False
rxn:1:61784:39329,0.11409650937370631,0.7037037037037037,True,False,False
rxn:1:59251:102,0.11405444145202637,1.0,False,False,False
rxn:1:55326:10501,0.11404959721998735,1.0,False,True,False
rxn:1:45601:10503,0.11404018191730275,1.0,False,True,False
rxn:1:45726:102,0.1139994219497398,1.0,False,False,False
rxn:1:55923:10477,0.11396719077054192,0.825,True,True,False
rxn:1:45955:23538,0.11396172334407938,0.7428571428571429,True,False,False
rxn:1:59225:38612,0.11393509740414827,0.9565217391304348,True,True,False
rxn:1:55509:10393,0.11392699182033539,1.0,False,True,False
rxn:1:55771:10477,0.11389727452222038,1.0,False,True,False
rxn:1:59234:2007,0.11388081312179565,0.5915492957746479,True,False,False
rxn:1:48317:23564,0.11385546348713062,0.8125,True,False,False
rxn:1:62688:32468,0.11383684696974578,0.6,True,False,False
